Player ID,Timestamps,Hours Played,Money Spent ($),Criminal Score,Missions Completed,Player Rank,Team Affiliation,VIP Status,Cash on Hand ($),Sync Stability (%),Quest Exploit Score,Player Level,Dark Market Transactions,Transaction Amount ($),Neural Link Stability (%)
P0001,2025-02-17 08:21:58,197,14131,4,34,Stellar Scout,Lone Wolf,No,5424,98.3,836,Starborne Operative,Error404,2386,65.2
P0002,2025-02-16 00:15:32,63,3962,2,92,Cosmic Ensign,Shadow Collective,No,8046,85.0,451,Starborne Operative,NeonShifter,5036,72.3
P0003,2025-02-15 13:26:30,102,15304,0,145,Stellar Scout,Lone Wolf,No,13207,90.6,788,Starborne Operative,CyberWraith,1736,78.8
P0004,2025-02-17 02:00:36,104,16476,5,212,Interstellar Agent,Lone Wolf,No,2069,90.8,625,Starborne Operative,PixelPirate,5459,95.9
P0005,2025-02-17 11:41:43,273,14913,4,221,Nebula Novice,Shadow Collective,No,12631,99.6,327,Starborne Operative,Error404,3018,90.7
P0006,2025-02-16 02:52:45,178,1052,4,223,Nebula Novice,Lone Wolf,No,8691,87.8,516,Celestial Vanguard,PixelPirate,1621,73.6
P0007,2025-02-16 23:37:33,88,10337,2,218,Interstellar Agent,Cyber Sentinels,No,7409,87.7,707,Quantum Sovereign,ByteBandit,1843,78.6
P0008,2025-02-15 06:01:03,237,4322,5,227,Nebula Novice,Cyber Sentinels,No,9915,92.6,765,Starborne Operative,GhostCoder,6681,76.9
P0009,2025-02-15 03:58:09,116,4799,4,250,Cosmic Ensign,Shadow Collective,No,14330,93.0,673,Starborne Operative,NeonShifter,7047,81.3
P0010,2025-02-16 03:55:24,70,5927,0,192,Cosmic Ensign,Cyber Sentinels,No,10568,95.9,765,Celestial Vanguard,RealityBender,7714,71.3
P0011,2025-02-15 08:51:03,167,13029,0,209,Cosmic Ensign,Shadow Collective,No,5352,96.5,324,Quantum Sovereign,QuantumBreaker,3028,71.7
P0012,2025-02-16 06:22:09,441,20,10,309,Interstellar Agent,Shadow Collective,No,18,61.3,0,Cosmic Initiate,RealityBender,186,42.8
P0013,2025-02-17 04:55:22,463,28,7,388,Universal Archon,Shadow Collective,No,124,76.8,268,Galactic Cadet,RealityBender,69,49.8
P0014,2025-02-15 02:47:16,492,41,5,397,Interstellar Agent,Shadow Collective,No,326,70.0,0,Cosmic Initiate,GlitchChip,115,61.6
P0015,2025-02-17 06:04:50,264,15202,0,118,Cosmic Ensign,Shadow Collective,No,9333,97.8,549,Quantum Sovereign,RealityBender,6231,82.9
P0016,2025-02-15 15:40:15,161,10004,5,115,Cosmic Ensign,Lone Wolf,No,10406,91.0,485,Quantum Sovereign,QuantumBreaker,4567,60.2
P0017,2025-02-15 15:04:59,453,43,6,370,Solar Admiral,Shadow Collective,No,404,79.0,0,Cosmic Initiate,GlitchChip,54,61.3
P0018,2025-02-15 16:05:48,436,47,10,455,Universal Archon,Shadow Collective,No,325,63.8,243,Cosmic Initiate,CyberWraith,137,49.6
P0019,2025-02-17 11:54:07,168,17350,1,292,Stellar Scout,Lone Wolf,No,7101,85.5,885,Starborne Operative,GhostCoder,9296,99.4
P0020,2025-02-15 06:03:02,185,13097,2,169,Cosmic Ensign,Shadow Collective,No,984,87.3,898,Starborne Operative,Error404,5861,82.6
P0021,2025-02-16 06:14:52,55,10302,4,271,Stellar Scout,Shadow Collective,No,2657,90.7,426,Starborne Operative,PixelPirate,3676,68.5
P0022,2025-02-15 08:03:21,95,6213,5,225,Interstellar Agent,Shadow Collective,No,7351,98.5,585,Celestial Vanguard,CyberWraith,1830,86.6
P0023,2025-02-17 02:00:52,245,11412,4,294,Interstellar Agent,Cyber Sentinels,No,8607,96.4,593,Celestial Vanguard,NeonShifter,3010,76.0
P0024,2025-02-15 00:14:34,135,16205,5,108,Nebula Novice,Shadow Collective,No,7350,99.6,720,Starborne Operative,RealityBender,3773,65.5
P0025,2025-02-16 21:08:28,70,19696,5,229,Nebula Novice,Shadow Collective,No,3227,93.5,783,Quantum Sovereign,GlitchChip,6166,60.9
P0026,2025-02-16 19:47:18,217,13757,4,281,Stellar Scout,Cyber Sentinels,No,12346,98.1,479,Celestial Vanguard,DataDrifter,5387,65.3
P0027,2025-02-15 04:43:10,102,19926,3,255,Stellar Scout,Lone Wolf,No,4463,97.0,772,Quantum Sovereign,GlitchChip,9996,93.5
P0028,2025-02-17 15:30:11,90,9023,3,55,Nebula Novice,Lone Wolf,Yes,11589,91.1,832,Celestial Vanguard,PixelPirate,1252,91.3
P0029,2025-02-17 21:43:42,233,18607,0,293,Nebula Novice,Shadow Collective,No,12395,85.9,707,Quantum Sovereign,RealityBender,6053,76.0
P0030,2025-02-17 19:31:49,216,15419,3,83,Nebula Novice,Cyber Sentinels,No,12918,97.4,414,Quantum Sovereign,NeonShifter,6104,76.5
P0031,2025-02-16 00:44:45,431,31,6,367,Interstellar Agent,Shadow Collective,No,355,43.0,251,Cosmic Initiate,CyberWraith,137,48.9
P0032,2025-02-16 08:22:48,165,9451,4,160,Nebula Novice,Cyber Sentinels,No,5225,85.4,679,Quantum Sovereign,CyberWraith,4871,72.3
P0033,2025-02-17 04:07:32,212,10985,3,245,Cosmic Ensign,Cyber Sentinels,No,11888,86.9,922,Celestial Vanguard,PixelPirate,4315,85.5
P0034,2025-02-15 02:02:21,199,10927,1,26,Cosmic Ensign,Shadow Collective,No,12713,98.1,829,Celestial Vanguard,GhostCoder,2891,98.9
P0035,2025-02-16 22:53:01,268,17419,2,287,Cosmic Ensign,Shadow Collective,No,8450,94.7,837,Celestial Vanguard,NeonShifter,8029,95.9
P0036,2025-02-15 01:02:10,66,12218,1,178,Stellar Scout,Cyber Sentinels,No,10471,96.7,422,Quantum Sovereign,DataDrifter,5940,80.0
P0037,2025-02-16 17:27:46,282,1399,5,288,Stellar Scout,Lone Wolf,No,11382,85.5,941,Starborne Operative,CyberWraith,8413,62.7
P0038,2025-02-16 16:17:20,266,18620,0,48,Interstellar Agent,Lone Wolf,No,4509,88.8,487,Quantum Sovereign,DataDrifter,3841,87.6
P0039,2025-02-16 09:12:34,300,9708,4,162,Nebula Novice,Lone Wolf,No,14110,98.8,435,Quantum Sovereign,QuantumBreaker,1097,68.3
P0040,2025-02-15 17:45:47,198,16639,3,70,Nebula Novice,Shadow Collective,No,1696,87.9,419,Celestial Vanguard,GlitchChip,7899,67.9
P0041,2025-02-16 15:29:38,203,16965,2,24,Interstellar Agent,Cyber Sentinels,No,7752,96.7,499,Quantum Sovereign,Error404,7575,99.7
P0042,2025-02-15 18:19:54,203,9871,3,110,Cosmic Ensign,Lone Wolf,No,5149,99.3,606,Celestial Vanguard,ByteBandit,4179,73.6
P0043,2025-02-17 01:21:32,129,15419,0,113,Interstellar Agent,Cyber Sentinels,No,8848,92.1,467,Starborne Operative,GlitchChip,7178,86.9
