Crew_ID,Age,Stress_Level,Crew_Role,Fitness_Level,Species,Home_Planet,Ship_Name,Recent_Medical_Incident
CRW0001,124,91,Communications Officer,Moderate,Synthoid,Zylar IV,SS Andromeda,False
CRW0002,114,29,Engineer,Moderate,Aquarion,Andromeda Prime,SS Odyssey,False
CRW0003,36,89,Communications Officer,Moderate,Zetan,Andromeda Prime,SS Orion,False
CRW0004,128,20,Engineer,High,Krell,Nova Terra,SS Odyssey,False
CRW0005,93,27,Scientist,Moderate,Aquarion,Vulpes,SS Orion,True
CRW0006,42,89,Communications Officer,Low,Draconian,Zylar IV,SS Aurora,True
CRW0007,124,61,Pilot,Low,Vulperian,Andromeda Prime,SS Orion,False
CRW0008,143,32,Pilot,High,Krell,Felix,SS Odyssey,False
CRW0009,96,84,Medical Officer,Low,Synthoid,Eldar,SS Odyssey,True
CRW0010,109,34,Scientist,Moderate,Eldari,Andromeda Prime,SS Endeavor,False
CRW0011,138,51,Pilot,High,Felid,Aquaros,SS Endeavor,False
CRW0012,121,33,Communications Officer,High,Aquarion,Dracos,SS Andromeda,False
CRW0013,125,40,Scientist,High,Vulperian,Eldar,SS Odyssey,False
CRW0014,173,50,Security,Low,Human,Aquaros,SS Aurora,False
CRW0015,152,46,Engineer,Moderate,Vulperian,Dracos,SS Orion,False
CRW0016,171,81,Communications Officer,Moderate,Vulperian,Earth,SS Andromeda,False
CRW0017,74,57,Engineer,High,Krell,Aquaros,SS Solaris,False
CRW0018,23,74,Engineer,Moderate,Human,Felix,SS Solaris,False
CRW0019,109,56,Scientist,High,Vulperian,Nova Terra,SS Orion,True
CRW0020,179,22,Scientist,High,Draconian,Earth,SS Orion,True
CRW0021,59,47,Medical Officer,Moderate,Felid,Zeta Reticuli,SS Orion,True
CRW0022,151,21,Engineer,High,Aquarion,Zylar IV,SS Endeavor,False
CRW0023,42,16,Medical Officer,Low,Aquarion,Eldar,SS Orion,False
CRW0024,182,68,Engineer,High,Draconian,Zeta Reticuli,SS Solaris,True
CRW0025,79,10,Medical Officer,Moderate,Aquarion,Eldar,SS Orion,False
CRW0026,43,93,Medical Officer,Moderate,Vulperian,Felix,SS Odyssey,False
CRW0027,110,14,Security,Moderate,Eldari,Zylar IV,SS Aurora,True
CRW0028,70,90,Medical Officer,High,Vulperian,Zylar IV,SS Solaris,False
CRW0029,80,34,Scientist,High,Krell,Eldar,SS Aurora,True
CRW0030,191,32,Medical Officer,Low,Zetan,Zylar IV,SS Solaris,False
CRW0031,36,83,Engineer,High,Eldari,Aquaros,SS Andromeda,False
CRW0032,196,15,Medical Officer,Low,Synthoid,Krellar,SS Odyssey,False
CRW0033,72,33,Pilot,Low,Synthoid,Vulpes,SS Solaris,False
CRW0034,129,65,Navigator,High,Eldari,Eldar,SS Odyssey,False
